#GPU, mean, median
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1944
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 2016
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 2124
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1944
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1692
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 2088
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1944
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1728
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1512
