#GPU, mean, median
#A100-SXM4-40GB MIG 1g.5gb, 1470, 1404
#A100-SXM4-40GB MIG 2g.10gb, 1100, 1044
#A100-SXM4-40GB MIG 3g.20gb, 1061, 972
#A100-SXM4-40GB MIG 7g.40gb, 977, 900
#GPU, walltime
A100-SXM4-40GB MIG 1g.5gb, 1872
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 2340
A100-SXM4-40GB MIG 1g.5gb, 2376
A100-SXM4-40GB MIG 1g.5gb, 2340
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 2124
A100-SXM4-40GB MIG 1g.5gb, 2340
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 3168
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2556
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2016
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2124
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 2916
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2052
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2196
A100-SXM4-40GB MIG 1g.5gb, 2088
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2952
A100-SXM4-40GB MIG 1g.5gb, 2772
A100-SXM4-40GB MIG 1g.5gb, 2376
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 2196
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2016
A100-SXM4-40GB MIG 1g.5gb, 1944
A100-SXM4-40GB MIG 1g.5gb, 1872
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1692
A100-SXM4-40GB MIG 1g.5gb, 1692
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2052
A100-SXM4-40GB MIG 1g.5gb, 1908
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1908
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1908
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1980
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 2016
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1800
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1872
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1728
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1728
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1728
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1692
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1692
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1656
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1512
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1692
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1728
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1728
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1296
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 1404
A100-SXM4-40GB MIG 1g.5gb, 1260
A100-SXM4-40GB MIG 1g.5gb, 1368
